full_name,owner,name,html_url,stargazers_count,forks_count,topics,matched_topics
kserve/kserve,kserve,kserve,https://github.com/kserve/kserve,4735,1291,"knative,machine-learning,model-interpretability,model-serving,istio,kubeflow,artificial-intelligence,tensorflow,pytorch,xgboost,kubernetes,k8s,service-mesh,kserve,hacktoberfest,mlops,genai,llm-inference,cncf","llm-inference,mlops,model-serving"
FellouAI/eko,FellouAI,eko,https://github.com/FellouAI/eko,4730,419,"agent,agentic-ai,agentic-framework,agentic-workflow,browseruse,computeruse,natural-language-inference,workflow,rag,agentic-ai-development,agents,chain-of-thought,genai,llm-inference,llmapi,prompt-engineering,llm-agents,ai-agents,browser-automation,computer-automation",llm-inference
xlite-dev/Awesome-LLM-Inference,xlite-dev,Awesome-LLM-Inference,https://github.com/xlite-dev/Awesome-LLM-Inference,4666,319,"flash-attention,paged-attention,tensorrt-llm,vllm,awesome-llm,llm-inference,deepseek,flash-attention-3,deepseek-v3,minimax-01,deepseek-r1,mla,flash-mla,qwen3",llm-inference
algorithmicsuperintelligence/openevolve,algorithmicsuperintelligence,openevolve,https://github.com/algorithmicsuperintelligence/openevolve,4450,657,"alphacode,coding-agent,deepmind,deepmind-lab,discovery,distributed-evolutionary-algorithms,evolutionary-algorithms,evolutionary-computation,genetic-algorithm,genetic-algorithms,iterative-methods,iterative-refinement,llm-engineering,llm-ensemble,llm-inference,optimize,alpha-evolve,alphaevolve,openevolve",llm-inference
katanemo/archgw,katanemo,archgw,https://github.com/katanemo/archgw,4293,238,"gateway,generative-ai,llm-inference,llms,prompt,proxy,proxy-server,llmops,openai,routing,ai-gateway,llm-gateway,llm-routing,envoy,envoyproxy,ai-gateway-support,llm-proxy",llm-inference
flashinfer-ai/flashinfer,flashinfer-ai,flashinfer,https://github.com/flashinfer-ai/flashinfer,4022,558,"gpu,large-large-models,cuda,pytorch,llm-inference,jit,attention,nvidia,distributed-inference,moe",llm-inference
gpustack/gpustack,gpustack,gpustack,https://github.com/gpustack/gpustack,3963,399,"ascend,cuda,deepseek,distributed-inference,genai,inference,llama,llamacpp,llm,maas,metal,openai,qwen,rocm,vllm,mindie,llm-inference,llm-serving,local-ai,heterogeneous-cluster","llm-inference,llm-serving"
cactus-compute/cactus,cactus-compute,cactus,https://github.com/cactus-compute/cactus,3638,214,"android,framework,ios,llamacpp,llm,llm-inference,llms,transformer,ai,edge,mobile,smartphone",llm-inference
NVIDIA/GenerativeAIExamples,NVIDIA,GenerativeAIExamples,https://github.com/NVIDIA/GenerativeAIExamples,3564,897,"gpu-acceleration,large-language-models,llm,llm-inference,microservice,nemo,rag,retrieval-augmented-generation,tensorrt,triton-inference-server",llm-inference
predibase/lorax,predibase,lorax,https://github.com/predibase/lorax,3528,281,"fine-tuning,gpt,llama,llm,llm-inference,llm-serving,llmops,lora,model-serving,pytorch,transformers","llm-inference,llm-serving,model-serving"
Michael-A-Kuykendall/shimmy,Michael-A-Kuykendall,shimmy,https://github.com/Michael-A-Kuykendall/shimmy,3355,237,"llama,llamacpp,llm-inference,ollama-api,command-line-tool,gguf,inference-server,local-ai,lora,machine-learning,api-server,developer-tools,huggingface,huggingface-models,huggingface-transformers,openai-compatible,rust,rust-crate,transformers",llm-inference
neuralmagic/deepsparse,neuralmagic,deepsparse,https://github.com/neuralmagic/deepsparse,3159,191,"machinelearning,onnx,inference,computer-vision,object-detection,pruning,quantization,pretrained-models,nlp,cpus,sparsification,llm-inference,performance,deepsparse",llm-inference
algorithmicsuperintelligence/optillm,algorithmicsuperintelligence,optillm,https://github.com/algorithmicsuperintelligence/optillm,3086,238,"agent,agentic-ai,agentic-workflow,agents,api-gateway,genai,large-language-models,llm,llm-inference,llmapi,mixture-of-experts,moa,openai,openai-api,optimization,proxy-server,agentic-framework,chain-of-thought,monte-carlo-tree-search,prompt-engineering",llm-inference
b4rtaz/distributed-llama,b4rtaz,distributed-llama,https://github.com/b4rtaz/distributed-llama,2727,190,"distributed-computing,llama2,llm,llm-inference,neural-network,llms,open-llm,distributed-llm,llama3",llm-inference
FasterDecoding/Medusa,FasterDecoding,Medusa,https://github.com/FasterDecoding/Medusa,2659,187,"llm,llm-inference",llm-inference
databricks/dbrx,databricks,dbrx,https://github.com/databricks/dbrx,2573,242,"databricks,gen-ai,generative-ai,llm,llm-inference,llm-training,mosaic-ai",llm-inference
intel/intel-extension-for-transformers,intel,intel-extension-for-transformers,https://github.com/intel/intel-extension-for-transformers,2165,216,"large-language-model,chatbot,4-bits,llm-inference,llm-cpu,chatpdf,streamingllm,intel-optimized-llamacpp,speculative-decoding,neural-chat,habana,neural-chat-7b,rag,retrieval,autoround,gaudi3",llm-inference
microsoft/aici,microsoft,aici,https://github.com/microsoft/aici,2053,81,"ai,rust,wasm,wasmtime,inference,language-model,llm,llm-framework,llm-inference,llm-serving,llmops,model-serving,transformer","llm-inference,llm-serving,model-serving"
SafeAILab/EAGLE,SafeAILab,EAGLE,https://github.com/SafeAILab/EAGLE,1977,220,"large-language-models,llm-inference,speculative-decoding",llm-inference
liltom-eth/llama2-webui,liltom-eth,llama2-webui,https://github.com/liltom-eth/llama2-webui,1954,206,"llama-2,llama2,llm,llm-inference",llm-inference
lemonade-sdk/lemonade,lemonade-sdk,lemonade,https://github.com/lemonade-sdk/lemonade,1571,131,"amd,llama,llm,llm-inference,llms,local-server,mistral,npu,onnxruntime,qwen,openai-api,mcp,mcp-server,gpu,radeon,ryzen,vulkan,ai,genai",llm-inference
beam-cloud/beta9,beam-cloud,beta9,https://github.com/beam-cloud/beta9,1433,128,"gpu,ml-platform,cuda,fine-tuning,generative-ai,large-language-models,llm,distributed-computing,llm-inference,self-hosted,autoscaler,cloudrun,developer-productivity,faas,functions-as-a-service,paas,serverless,serverless-containers",llm-inference
sauravpanda/BrowserAI,sauravpanda,BrowserAI,https://github.com/sauravpanda/BrowserAI,1267,117,"ai,llm-inference,webgpu,agents,llm,tts,localllm,llama,local",llm-inference
neuron-core/neuron-ai,neuron-core,neuron-ai,https://github.com/neuron-core/neuron-ai,1234,130,"agentic-ai,agentic-framework,ai,llm,llm-inference,llms,vector-database,php,agent,agents",llm-inference
taielab/awesome-hacking-lists,taielab,awesome-hacking-lists,https://github.com/taielab/awesome-hacking-lists,1223,246,"web,hacking,awesome-list,hacker,hacking-tool,kali-scripts,hacking-tools,pentesting-tools,pentest-scripts,bounty-hunters,bug-bounty,bugbounty,bugbounty-tool,agents,ai,aiagent,llm,llm-inference,mcp,mcp-server",llm-inference
lean-dojo/LeanCopilot,lean-dojo,LeanCopilot,https://github.com/lean-dojo/LeanCopilot,1184,115,"lean,llm-inference,machine-learning,theorem-proving,lean4,formal-mathematics,llm",llm-inference
character-ai/prompt-poet,character-ai,prompt-poet,https://github.com/character-ai/prompt-poet,1119,95,"prompt-engineering,llm,llm-inference,prompt,prompt-design,prompt-tuning,prompting",llm-inference
felladrin/awesome-ai-web-search,felladrin,awesome-ai-web-search,https://github.com/felladrin/awesome-ai-web-search,1091,81,"ai,ai-search-engine,artificial-intelligence,artificial-intelligence-projects,awesome,awesome-list,generative-ai,generative-ai-projects,generative-ai-tools,information-retrieval,llm-inference,metasearch,question-answering,rag,retrieval-augmented-generation,web-search",llm-inference
shyamsaktawat/OpenAlpha_Evolve,shyamsaktawat,OpenAlpha_Evolve,https://github.com/shyamsaktawat/OpenAlpha_Evolve,929,145,"alphafold,evolutionary-algorithms,google,discovery,evolution-computing,evolutionary-algorithm,genetic-algorithm,iterative-methods,optimize,alphacode,coding-agent,distributed-evolutionary-algorithms,iterative-refinement,llm-engineering,llm-ensemble,llm-inference,openevolve",llm-inference
zhihu/ZhiLight,zhihu,ZhiLight,https://github.com/zhihu/ZhiLight,902,103,"inference-engine,llm,cuda,gpt,llama,llm-serving,pytorch,llm-inference,model-serving,deepseek-r1","inference-engine,llm-inference,llm-serving,model-serving"
Nano-Collective/nanocoder,Nano-Collective,nanocoder,https://github.com/Nano-Collective/nanocoder,852,71,"ai,ai-agents,ai-coding,coding-agents,llm,llm-inference,ollama,openai,openrouter",llm-inference
harleyszhang/llm_note,harleyszhang,llm_note,https://github.com/harleyszhang/llm_note,839,89,"llm,llm-inference,triton-kernels,vllm,cuda-programming,kv-cache,transformer-models",llm-inference
mukel/llama3.java,mukel,llama3.java,https://github.com/mukel/llama3.java,785,93,"java,llama,llama3,llm,llm-inference,llms,chatgpt,genai,gguf,huggingface,llamacpp,openai,simd,transformers",llm-inference
eastriverlee/LLM.swift,eastriverlee,LLM.swift,https://github.com/eastriverlee/LLM.swift,770,90,"ios,llm,llm-inference,macos,swift,tvos,visionos,watchos,gguf",llm-inference
stanford-mast/blast,stanford-mast,blast,https://github.com/stanford-mast/blast,750,50,"ai-agents,browser-automation,llm-inference,python",llm-inference
dalisoft/awesome-hosting,dalisoft,awesome-hosting,https://github.com/dalisoft/awesome-hosting,746,78,"nodejs,hosting,vps,trial,free,services,saas,iaas,cloud,linux,windows,referral,database,serverless,ai,llm,llm-inference",llm-inference
foldl/chatllm.cpp,foldl,chatllm.cpp,https://github.com/foldl/chatllm.cpp,737,54,"llm,llm-inference",llm-inference
ghimiresunil/LLM-PowerHouse-A-Curated-Guide-for-Large-Language-Models-with-Custom-Training-and-Inferencing,ghimiresunil,LLM-PowerHouse-A-Curated-Guide-for-Large-Language-Models-with-Custom-Training-and-Inferencing,https://github.com/ghimiresunil/LLM-PowerHouse-A-Curated-Guide-for-Large-Language-Models-with-Custom-Training-and-Inferencing,711,119,"bert,huggingface,large-language-models,llm-inference,llm-training,open-source,open-source-llm,transformers,llm-tutorials","llm-inference,open-source-llm"
stoyan-stoyanov/llmflows,stoyan-stoyanov,llmflows,https://github.com/stoyan-stoyanov/llmflows,703,34,"ai,llm,llm-inference,llmops,llms,machine-learning,openai,prompt-engineering,question-answering,vector-database,chatgpt,gpt-4,python",llm-inference
jax-ml/scaling-book,jax-ml,scaling-book,https://github.com/jax-ml/scaling-book,679,98,"jax,llm-inference,llms,roofline,tpus",llm-inference
jd-opensource/xllm,jd-opensource,xllm,https://github.com/jd-opensource/xllm,670,77,"deepseek,inference,inference-engine,llm-inference,qwen,large-language-models","inference-engine,llm-inference"
run-ai/genv,run-ai,genv,https://github.com/run-ai/genv,652,39,"gpu,docker,gpus,nvidia-gpu,bash,data-science,deep-learning,jupyter-notebook,jupyterlab-extension,vscode,vscode-extension,zsh,container-runtime,containers,k8s,kubernetes,ray,llm-inference,llms,ollama",llm-inference
zeux/calm,zeux,calm,https://github.com/zeux/calm,621,30,"cuda,llm-inference,ml",llm-inference
ovg-project/kvcached,ovg-project,kvcached,https://github.com/ovg-project/kvcached,612,53,"gpu-sharing,kvcache,llm,sglang,vllm,kvcached,inference-engine,gpu-mutiplexing,kvcache-optimization,llm-framework,llm-inference,llm-serving,serverless,ollama,elastic-kvcache,online-offline-coserve","inference-engine,llm-inference,llm-serving"
kubernetes-sigs/lws,kubernetes-sigs,lws,https://github.com/kubernetes-sigs/lws,604,114,"sig-apps,llm-inference",llm-inference
feifeibear/long-context-attention,feifeibear,long-context-attention,https://github.com/feifeibear/long-context-attention,589,68,"attention-is-all-you-need,llm-inference,llm-training,pytorch,ring-attention,deepspeed-ulysses",llm-inference
rohan-paul/LLM-FineTuning-Large-Language-Models,rohan-paul,LLM-FineTuning-Large-Language-Models,https://github.com/rohan-paul/LLM-FineTuning-Large-Language-Models,564,137,"gpt-3,gpt3-turbo,large-language-models,llama2,llm,llm-finetuning,llm-inference,llm-serving,llm-training,mistral-7b,open-source-llm,pytorch","llm-inference,llm-serving,open-source-llm"
andrewkchan/yalm,andrewkchan,yalm,https://github.com/andrewkchan/yalm,528,50,"cpp,cuda,inference-engine,llama,llamacpp,llm,llm-inference,machine-learning,mistral","inference-engine,llm-inference"
devflowinc/uzi,devflowinc,uzi,https://github.com/devflowinc/uzi,525,21,"agentic-ai,ai,codegen,go,golang,llm,llm-inference,parallelization",llm-inference
yassa9/qwen600,yassa9,qwen600,https://github.com/yassa9/qwen600,507,41,"cuda,cuda-programming,gpu,llm,llm-inference,transformer,llamacpp,qwen,qwen3",llm-inference
aigrantsindia/aigrantsindia,aigrantsindia,aigrantsindia,https://github.com/aigrantsindia/aigrantsindia,501,2,"ai,grants,hackathons,llm-inference,llms",llm-inference
felladrin/MiniSearch,felladrin,MiniSearch,https://github.com/felladrin/MiniSearch,490,54,"ai,artificial-intelligence,generative-ai,gpu-accelerated,information-retrieval,llm,llm-inference,question-answering,retrieval-augmented-generation,searxng,web-llm,webapp,wllama,perplexity-ai,rag,perplexity,web-search,ai-search-engine,metasearch,metasearch-engine",llm-inference
anarchy-ai/LLM-VM,anarchy-ai,LLM-VM,https://github.com/anarchy-ai/LLM-VM,486,137,"artificial-intelligence,deep-learning,distillation,distillation-model,llm,llm-agent,llm-inference,llm-local,llm-training,machine-learning",llm-inference
vectorch-ai/ScaleLLM,vectorch-ai,ScaleLLM,https://github.com/vectorch-ai/ScaleLLM,481,37,"cuda,inference,llm,llm-inference,model,production,serving,speculative,transformer,efficiency,performance,gpu,llama3,llama",llm-inference
hpcaitech/SwiftInfer,hpcaitech,SwiftInfer,https://github.com/hpcaitech/SwiftInfer,477,31,"artificial-intelligence,deep-learning,gpt,inference,llama,llama2,llm-inference,llm-serving","llm-inference,llm-serving"
TilmanGriesel/chipper,TilmanGriesel,chipper,https://github.com/TilmanGriesel/chipper,471,44,"embedding,llm,llm-inference,ollama,ollama-api,ollama-client,ollama-gui,rag,retrival-augmented-generation,hugging-face,huggingface,deepseek-r1,deepseek,deepseek-chat,llama3,phi4,agent,agentic-ai",llm-inference
deeppowers/deeppowers,deeppowers,deeppowers,https://github.com/deeppowers/deeppowers,460,39,"accelerator,ai,llm-inference,llms",llm-inference
FlagAI-Open/Aquila2,FlagAI-Open,Aquila2,https://github.com/FlagAI-Open/Aquila2,446,31,"llm,llm-inference,llm-training",llm-inference
zjhellofss/KuiperLLama,zjhellofss,KuiperLLama,https://github.com/zjhellofss/KuiperLLama,444,117,"cuda,inference-engine,llama2,llama3,llm,llm-inference,cpp,qwen,qwen2","inference-engine,llm-inference"
Kenza-AI/sagify,Kenza-AI,sagify,https://github.com/Kenza-AI/sagify,441,68,"sagemaker,generative-ai,large-language-model,large-language-models,llm,llm-inference,llmops,openai,ai-gateway,anthropic,cohere,langchain,langchain-python,open-source-llm","llm-inference,open-source-llm"
Chen-zexi/vllm-cli,Chen-zexi,vllm-cli,https://github.com/Chen-zexi/vllm-cli,440,20,"llm,llm-tools,vllm,llm-inference",llm-inference
ray-project/ray-educational-materials,ray-project,ray-educational-materials,https://github.com/ray-project/ray-educational-materials,438,81,"deep-learning,distributed-machine-learning,ray-distributed,ray-tune,ray,ray-train,ray-data,ray-serve,generative-ai,llm,llm-inference,llm-serving","llm-inference,llm-serving"
microsoft/sarathi-serve,microsoft,sarathi-serve,https://github.com/microsoft/sarathi-serve,436,58,"llama,llm-inference,pytorch,transformer",llm-inference
rizerphe/local-llm-function-calling,rizerphe,local-llm-function-calling,https://github.com/rizerphe/local-llm-function-calling,431,41,"chatgpt-functions,huggingface-transformers,json-schema,llm,llm-inference,openai-function-call,openai-functions",llm-inference
preternatural-explore/mlx-swift-chat,preternatural-explore,mlx-swift-chat,https://github.com/preternatural-explore/mlx-swift-chat,424,29,"ios,llm-inference,macos,mlx,swiftui,mlx-swift",llm-inference
NVIDIA/Star-Attention,NVIDIA,Star-Attention,https://github.com/NVIDIA/Star-Attention,390,20,"attention-mechanism,large-language-models,llm-inference",llm-inference
AI-Hypercomputer/JetStream,AI-Hypercomputer,JetStream,https://github.com/AI-Hypercomputer/JetStream,388,52,"gemma,gpt,gpu,inference,jax,large-language-models,llama,llama2,llm,model-serving,pytorch,tpu,llm-inference,llmops,mlops,transformer","llm-inference,mlops,model-serving"
EulerSearch/embedding_studio,EulerSearch,embedding_studio,https://github.com/EulerSearch/embedding_studio,381,5,"embeddings,embeddings-similarity,fine-tuning,llm-inference,query-parser,search-algorithm,search-engine,semantic-similarity,unstructured-data,unstructured-search,vector-database,search-query-parser",llm-inference
tingaicompass/AI-Compass,tingaicompass,AI-Compass,https://github.com/tingaicompass/AI-Compass,374,40,"agent,ai,llm,llm-inference,llm-training,nlp,rl,rlhf",llm-inference
alipay/PainlessInferenceAcceleration,alipay,PainlessInferenceAcceleration,https://github.com/alipay/PainlessInferenceAcceleration,365,22,llm-inference,llm-inference
intel/neural-speed,intel,neural-speed,https://github.com/intel/neural-speed,349,39,"cpu,fp8,gaudi2,gpu,int4,int8,llm-inference,low-bit,sparsity,fp4,llm-fine-tuning,mxformat,nf4,llamacpp,int2,int3,int5,int6,int7,int1",llm-inference
DebarghaG/proofofthought,DebarghaG,proofofthought,https://github.com/DebarghaG/proofofthought,348,22,"automated-reasoning,llm,llm-reasoning,trustworthy-ai,z3,llm-inference",llm-inference
dusty-nv/NanoLLM,dusty-nv,NanoLLM,https://github.com/dusty-nv/NanoLLM,329,58,"edge-ai,llm-inference,multimodal,speech,rag,vector-database,vision-transformer",llm-inference
NotPunchnox/rkllama,NotPunchnox,rkllama,https://github.com/NotPunchnox/rkllama,327,50,"ai,client-server,ia,llm,npu,offline,orangepi,orangepi5,orangepi5pro,python,rk3576,rk3588,rockchip,llm-inference,orange-pi,client,llm-apps,server,npu-llm",llm-inference
ugorsahin/TalkingHeads,ugorsahin,TalkingHeads,https://github.com/ugorsahin/TalkingHeads,324,64,"chatgpt,chatgpt-api,selenium,browser-automation,free,python,undetected-chromedriver,huggingchat,llm-inference,claude,copilot,gemini",llm-inference
morpheuslord/HackBot,morpheuslord,HackBot,https://github.com/morpheuslord/HackBot,319,57,"ai,chatbot,cli-chat-app,llama2,automation,cybersecurity,cybersecurity-education,cybersecurity-tools,llama2-7b,llamacpp,llm-inference,runpod,llama-api",llm-inference
expectedparrot/edsl,expectedparrot,edsl,https://github.com/expectedparrot/edsl,317,31,"anthropic,data-labeling,deepinfra,domain-specific-language,experiments,llama2,llm,llm-agent,llm-framework,llm-inference,market-research,mixtral,open-source,openai,python,social-science,surveys,synthetic-data",llm-inference
andrewkchan/deepseek.cpp,andrewkchan,deepseek.cpp,https://github.com/andrewkchan/deepseek.cpp,315,33,"cpp,deepseek,llama,llm,llm-inference,machine-learning,transformers",llm-inference
unifyai/unify,unifyai,unify,https://github.com/unifyai/unify,310,32,"llm,llm-inference,claude,gpt-4,llama2,llms,mixtral,gpt,openai,ai,python",llm-inference
sgl-project/ome,sgl-project,ome,https://github.com/sgl-project/ome,305,44,"k8s,llm-inference,model-as-a-service,model-serving,multi-node-kubernetes,oracle-cloud,sglang,llm,deepseek,kimi-k2,llama,sgalng","llm-inference,model-serving"
structuredllm/syncode,structuredllm,syncode,https://github.com/structuredllm/syncode,300,32,"large-language-models,llm-inference,parser,llm,grammar",llm-inference
MLSys-Learner-Resources/Awesome-MLSys-Blogger,MLSys-Learner-Resources,Awesome-MLSys-Blogger,https://github.com/MLSys-Learner-Resources/Awesome-MLSys-Blogger,298,9,"llm,llm-inference,llm-training,machine-learning,machine-learning-systems,mlsys",llm-inference
suncloudsmoon/awesome-open-source-ai,suncloudsmoon,awesome-open-source-ai,https://github.com/suncloudsmoon/awesome-open-source-ai,297,8,"ai,open-source,ai-tools,embeddings,llm-inference,llms",llm-inference
interestingLSY/swiftLLM,interestingLSY,swiftLLM,https://github.com/interestingLSY/swiftLLM,286,34,"transformer,transformers,cuda,inference,inference-engine,pytorch,gpt,llama,llm,llm-inference,llm-serving,llmops,mlops,model-serving","inference-engine,llm-inference,llm-serving,mlops,model-serving"
armbues/SiLLM,armbues,SiLLM,https://github.com/armbues/SiLLM,280,27,"apple-silicon,dpo,large-language-models,llm,llm-inference,llm-training,lora,mlx",llm-inference
galeselee/Awesome_LLM_System-PaperList,galeselee,Awesome_LLM_System-PaperList,https://github.com/galeselee/Awesome_LLM_System-PaperList,278,14,"llm-inference,llm-serving,paperlist,papers,system","llm-inference,llm-serving"
Picovoice/picollm,Picovoice,picollm,https://github.com/Picovoice/picollm,272,15,"llm,compression,efficient-inference,gemma,generative-ai,language-model,language-models,large-language-model,llama,llama2,llama3,llms,mistral,mixtral,model-compression,natural-language-processing,quantization,self-hosted,llm-inference",llm-inference
ByteDance-Seed/ShadowKV,ByteDance-Seed,ShadowKV,https://github.com/ByteDance-Seed/ShadowKV,269,18,"long-context,low-rank,sparse-attention,llm-inference,research,cpu-offload,high-throughput",llm-inference
Infini-AI-Lab/TriForce,Infini-AI-Lab,TriForce,https://github.com/Infini-AI-Lab/TriForce,268,17,"acceleration,llm,long-context,speculative-decoding,llm-inference,efficiency,inference",llm-inference
modelscope/dash-infer,modelscope,dash-infer,https://github.com/modelscope/dash-infer,267,28,"cpu,llm,llm-inference,native-engine,cuda,guided-decoding",llm-inference
EfficientMoE/MoE-Infinity,EfficientMoE,MoE-Infinity,https://github.com/EfficientMoE/MoE-Infinity,256,19,"inference-engine,large-language-models,mixture-of-experts,huggingface,pytorch,llm-inference","inference-engine,llm-inference"
ubergarm/r1-ktransformers-guide,ubergarm,r1-ktransformers-guide,https://github.com/ubergarm/r1-ktransformers-guide,254,16,"deepseek-r1,llm-inference,llms,ktransformers",llm-inference
sophgo/LLM-TPU,sophgo,LLM-TPU,https://github.com/sophgo/LLM-TPU,253,43,"generative-ai,llm,bm1684x,llm-inference,llama3,large-language-models,qwen2-5-vl,qwen3,bm1688,internvl3,qwen3-vl",llm-inference
JinjieNi/MixEval,JinjieNi,MixEval,https://github.com/JinjieNi/MixEval,250,41,"benchmark,benchmark-mixture,benchmarking-framework,benchmarking-suite,evaluation,evaluation-framework,foundation-models,large-language-model,large-language-models,large-multimodal-models,llm-evaluation,llm-evaluation-framework,llm-inference,mixeval",llm-inference
inferflow/inferflow,inferflow,inferflow,https://github.com/inferflow/inferflow,249,23,"llama2,llamacpp,llm-inference,model-quantization,multi-gpu-inference,mixture-of-experts,moe,gemma,falcon,minicpm,mistral,bloom,deepseek,internlm,phi-2,baichuan2,mixtral,m2m100,qwen",llm-inference
promptslab/LLMtuner,promptslab,LLMtuner,https://github.com/promptslab/LLMtuner,244,16,"fine-tuning,fine-tuning-llm,finetune,finetune-llm,finetuning,llm,llm-framework,llm-inference,llm-training,llmops,finetune-gpt,finetune-llama,finetune-llms,finetune-whisper,llmtuner,finetuning-large-language-models,finetuning-rl,finetunechatgpt,whisper,whisper-finetune",llm-inference
efeslab/fiddler,efeslab,fiddler,https://github.com/efeslab/fiddler,240,24,"llm,llm-inference,mixtral-8x7b,mixture-of-experts,local-inference",llm-inference
bentoml/llm-inference-handbook,bentoml,llm-inference-handbook,https://github.com/bentoml/llm-inference-handbook,239,22,"llm,llm-inference,inference-handbook,inference-optimization,inference-infrastructure",llm-inference
Infini-AI-Lab/MagicPIG,Infini-AI-Lab,MagicPIG,https://github.com/Infini-AI-Lab/MagicPIG,238,16,"decoding,llm-inference,lsh-algorithm,gpu-cpu",llm-inference
bytedance/ABQ-LLM,bytedance,ABQ-LLM,https://github.com/bytedance/ABQ-LLM,236,21,"cuda,llm-inference,mlsys,quantized-networks,research",llm-inference
genai-impact/ecologits,genai-impact,ecologits,https://github.com/genai-impact/ecologits,227,23,"genai,generative-ai,green-ai,green-software,llm,llm-inference,python,sustainability,sustainable-ai",llm-inference
arc53/llm-price-compass,arc53,llm-price-compass,https://github.com/arc53/llm-price-compass,222,8,"benchmark,gpu,llm,llm-inference,inference-comparison,llm-comparison,llm-price,hacktoberfest",llm-inference
C0deMunk33/bespoke_automata,C0deMunk33,bespoke_automata,https://github.com/C0deMunk33/bespoke_automata,220,23,"agents,ai,automation,chatbots,developer-tools,llm-inference",llm-inference
Adriankhl/godot-llm,Adriankhl,godot-llm,https://github.com/Adriankhl/godot-llm,217,13,"godot,llamacpp,llm-inference,godot-engine,godotengine,game-development,gamedev,gdextension",llm-inference
MorpheusAIs/Morpheus,MorpheusAIs,Morpheus,https://github.com/MorpheusAIs/Morpheus,211,143,"agents,ai,compute,ethereum,llm-inference,llms,smart-contracts,smart-agents",llm-inference
FasterDecoding/REST,FasterDecoding,REST,https://github.com/FasterDecoding/REST,210,17,"llm-inference,retrieval,speculative-decoding",llm-inference
NimbleEdge/sparse_transformers,NimbleEdge,sparse_transformers,https://github.com/NimbleEdge/sparse_transformers,201,12,"sparsity,transformers-models,llm,llm-inference",llm-inference
bd4sur/Nano,bd4sur,Nano,https://github.com/bd4sur/Nano,200,12,"ai,gpt,llm,llm-inference,llm-training,on-device,on-device-ai,transformer",llm-inference
little51/llm-dev,little51,llm-dev,https://github.com/little51/llm-dev,196,40,"llm,llm-inference,llm-training,chat-application,llm-deployment",llm-inference
jax-ml/jax-llm-examples,jax-ml,jax-llm-examples,https://github.com/jax-ml/jax-llm-examples,194,24,"jax,llm,llm-inference",llm-inference
